"","year","entidad","idd","pp_gob","dim_1","dim_2","dim_3","dim_4","pp_izq"
"67",2012,"Baja California Sur",10,"pan",7.148,8.485,0.496,0.672,"pp_otro"
"68",2012,"Campeche",7.016,"pri",7.591,4.104,-0.577,1.347,"pp_otro"
"69",2012,"Chiapas",2.298,"pvem",3.649,2.494,-0.623,-0.959,"pp_otro"
"70",2012,"Chihuahua",2.391,"pri",1.392,2.068,-0.348,1.62,"pp_otro"
"71",2012,"Cdmx",7.711,"prd",7.146,5.026,0.805,0.535,"pp_izq"
"72",2012,"Coahuila",6.496,"pri",5.191,3.484,0.945,2.494,"pp_otro"
"73",2012,"Colima",8.771,"pri",6.968,7.281,1.224,-0.408,"pp_otro"
"74",2012,"Durango",5.138,"pri",4.787,5.242,-0.739,0.21,"pp_otro"
"75",2012,"Guanajuato",6.987,"pan",8.145,6.808,-0.902,-1.63,"pp_otro"
"76",2012,"Guerrero",2.012,"prd",3.744,1.269,-0.481,-0.508,"pp_izq"
"77",2012,"Hidalgo",4.836,"pri",3.58,5.931,-0.004,-0.504,"pp_otro"
"78",2012,"Jalisco",6.43,"pan",6.549,5.107,0.038,-0.133,"pp_otro"
"79",2012,"Mexico",4.282,"pri",4.832,4.137,-0.039,-0.854,"pp_otro"
"80",2012,"Michoacan",4.63,"pri",5.286,3.458,-0.255,0.172,"pp_otro"
"81",2012,"Morelos",5.821,"prd",6.406,4.307,1.497,-1.607,"pp_izq"
"82",2012,"Nayarit",8.119,"pri",6.199,4.991,1.411,1.513,"pp_otro"
"83",2012,"Nuevo Leon",6.155,"pri",6.121,3.28,0.746,0.985,"pp_otro"
"84",2012,"Oaxaca",4.521,"mc",5.174,3.539,0.203,-0.437,"pp_otro"
"85",2012,"Puebla",4.916,"pan",6.724,4.904,-0.853,-1.64,"pp_otro"
"86",2012,"Queretaro",4.96,"pri",5.2,4.563,-0.714,0.16,"pp_otro"
"87",2012,"Quintana Roo",4.842,"pri",2.429,4.464,0.741,1.381,"pp_otro"
"88",2012,"San Luis Potosi",5.1,"pri",6.602,4.29,0.024,-1.477,"pp_otro"
"89",2012,"Sinaloa",2.67,"pan",2.242,2.494,0.543,-0.034,"pp_otro"
"90",2012,"Sonora",5.809,"pan",5.034,3.952,0.417,1.181,"pp_otro"
"91",2012,"Tabasco",5.81,"pri",7.465,4.912,-1.828,0.037,"pp_otro"
